Longitude,Latitude,Adres,Type Lader
486.148.038,52.077.046.038,Hoefbladveld 1 Woerden,Krachtstroom E-laad AL305 mennekes
4.871.189.977,52.088.986.095,Tournoysveld 92 Woerden,Krachtstroom E-laad AL302 mennekes
6.878.426.457,5.310.700.367,Van Beresteynstraat 4 Veendam,Krachtstroom E-laad AL340 mennekes
6.291.913.176,52.573.754.436,Grote Markt 1 Nieuwleusen,Krachtstroom E-laad AL310 mennekes
6.342.993.165,52.445.337.869,Kroonplein 5 Lemelerveld,Krachtstroom E-laad AL309 mennekes
6.229.868.317,52.485.928.946,Kerkstraat 14 Hoonhorst,Krachtstroom E-laad AL311 mennekes
685.508.051,51.181.087.779,Reisholzer Bahnstraﬂe 33a D¸sseldorf,Stopcontact E-laad ALDUS3 schuko
6.855.144.883,51.181.057.514,Reisholzer Bahnstraﬂe 33a D¸sseldorf,Stopcontact E-laad ALDUS2 schuko
6.822.851.086,51.194.987.269,Harffstraﬂe 110a D¸sseldorf,Stopcontact E-laad ALDUS4 schuko
5.441.933.968,51.488.310.114,Ardechelaan 1 Eindhoven,Krachtstroom E-laad AL306 mennekes
4.395.504,51.984.314,Rijksstraatweg 75 Delfgauw,Krachtstroom E-laad AL326 mennekes
5.305.605.636,51.503.094.339,Princeehof  Oirschot,Krachtstroom E-laad AL281 mennekes
6.346.007.968,51.928.733.081,Rijksweg 138 Gaanderen,Krachtstroom E-laad AL354 mennekes
6.315.741.921,51.973.665.214,Houtsmastraat 148 Doetinchem,Krachtstroom E-laad AL352 mennekes
6.292.578.364,51.963.561.889,Tjalmastraat 3 Doetinchem,Krachtstroom E-laad AL355 mennekes
6.257.301.951,51.960.081.216,De Bongerd 79 Doetinchem,Krachtstroom E-laad AL356 mennekes
6.283.930.922,51.963.789.957,Dichterseweg 5 Doetinchem,Krachtstroom E-laad AL351 mennekes
621.103.921,51.960.828.278,Koningin Wilhelminastraat 9 Wehl,Krachtstroom E-laad AL353 mennekes
6.006.625,5.194.199,Vlielandlaan 125 Duiven,Krachtstroom E-laad AL347 mennekes
6.024.241,51.948.911,Kastanjelaan 3 Duiven,Krachtstroom E-laad AL348 mennekes
6.02,51.94,Iepenlaan 1 Duiven,Krachtstroom E-laad AL349 mennekes
4.643.703,52.218.546,Noordschans 1a Oude Wetering,Krachtstroom E-laad AL334 mennekes
6.081.984,5.193.504,Delweg 14 Zevenaar,Krachtstroom E-laad AL357 mennekes
5.829.661,52.450.617,Havenkade 7 Elburg,Krachtstroom E-laad AL346 mennekes
5.837.517,52.446.867,Zwolscheweg 1 Elburg,Krachtstroom E-laad AL335 mennekes
5.698.801,51.420.219,Laan ten Boomen 49 Lierop,Krachtstroom E-laad AL169 mennekes
601.933,50.770.992,Von Clermontplein 15 Vaals,Krachtstroom E-laad AL321 mennekes
5.964.279,50.788.858,Pastorijweg 6 Vijlen,Krachtstroom E-laad AL318 mennekes
6.520.488,52.305.969,Hogepad 98 Rijssen,Krachtstroom E-laad AL157 mennekes
5.902.496,52.561.273,Dr. Damstraat 1 Kampen,Krachtstroom E-laad AL164 mennekes
5.410.439,51.506.692,Eindhovenseweg 142 Best,Krachtstroom E-laad AL154 mennekes
4.891.188.527,52.082.815.377,Houttuinlaan 2 Woerden,Krachtstroom E-laad AL303 mennekes
546.013,5.148.117,Pietersbergweg 31 Eindhoven,Krachtstroom E-laad AL293 mennekes
5.397.580.661,51.456.705.556,Beatrix de Rijkweg 8 Eindhoven,Krachtstroom E-laad AL292 mennekes
5.464.663,51.428.222,Hoogstraat 224 Eindhoven,Krachtstroom E-laad AL294 mennekes
5.418.207.432,53.171.637.301,Zuiderhaven 54 Harlingen,Krachtstroom E-laad AL394 mennekes
6.147.881,53.282.151,Kerkstraat 4 Kollum,Krachtstroom E-laad AL392 mennekes
4.556.424,51.793.061,Sportlaan 22 Maasdam,Krachtstroom E-laad AL336 mennekes
548.100.166,51.441.987.278,Stationsweg 1 Eindhoven,Krachtstroom E-laad AL300 mennekes
5.477.694,51.469.124,Winkelcentrum Woensel 3 Eindhoven,Krachtstroom E-laad AL299 mennekes
5.462.839,51.424.281,Franz Leharplein 20 Eindhoven,Krachtstroom E-laad AL315 mennekes
5.439.596,5.141.933,Kastelenplein 60 Eindhoven,Krachtstroom E-laad AL307 mennekes
5.502.161.759,51.442.733.655,Rietvinkstraat 5 Eindhoven,Krachtstroom E-laad AL381 mennekes
55.224,51.446.987,Daalakkersweg 2 Eindhoven,Krachtstroom E-laad AL382 mennekes
549.225.795,51.477.079.294,Tarwelaan 109 Eindhoven,Krachtstroom E-laad AL385 mennekes
5.484.402.796,51.444.987.203,Professor dr. Dorgelolaan 6 Eindhoven,Krachtstroom E-laad AL314 mennekes
5.422.354,5.143.519,Noord Brabantlaan 303 Eindhoven,Krachtstroom E-laad AL298 mennekes
5.500.290.423,51.486.342.834,Anconalaan 1 Eindhoven,Krachtstroom E-laad AL397 mennekes
5.489.906.864,51.452.815.801,Dominee Theodor Fliednerstraat 2 Eindhoven,Krachtstroom E-laad AL395 mennekes
5.469.201,51.440.309,Gagelstraat 8 Eindhoven,Krachtstroom E-laad AL410 mennekes
5.483.522.577,51.428.364.177,Alberdingk Thijmlaan 1 Eindhoven,Krachtstroom E-laad AL398 mennekes
5.475.069.389,51.434.102.084,Deken van Somerenstraat 2 Eindhoven,Krachtstroom E-laad AL313 mennekes
5.978.928,50.834.101,Doctor Ottenstraat 48 Simpelveld,Krachtstroom E-laad AL377 mennekes
5.851.266,51.061.516,Salvatorplein 8 Susteren,Krachtstroom E-laad AL384 mennekes
5.958.466,51.051.139,Kapelaan Verdonschotstraat 6 Koningsbosch,Krachtstroom E-laad AL378 mennekes
5.869.703,50.994.844,Baenjenstraat 3 Sittard,Krachtstroom E-laad AL387 mennekes
5.827.512,50.969.632,Markt 1 Geleen,Krachtstroom E-laad AL386 mennekes
5.810.754,51.032.276,Kerkstraat 45 Born,Krachtstroom E-laad AL388 mennekes
5.832.297,50.965.904,Kummenaedestraat 62 Geleen,Krachtstroom E-laad AL383 mennekes
7.043.355,53.036.646,Dorpsstraat 36 Onstwedde,Krachtstroom E-laad AL393 mennekes
5.970.482,51.697.443,Europaplein 21 Gennep,Krachtstroom E-laad AL240 mennekes
5.949.807,51.724.287,Schuttersplein 9 Milsbeek,Krachtstroom E-laad AL247 mennekes
3.809.491,51.466.877,Steenloperstraat 16 Heinkenszand,Krachtstroom E-laad AL329 mennekes
4.510.781,52.062.072,Kikkersloot 40 Zoetermeer,Krachtstroom E-laad AL376 mennekes
7.008.408,53.103.792,Raadhuislaan 8 Oude Pekela,Krachtstroom E-laad AL350 mennekes
658.435.986,51.927.583.779,Haartsestraat 10 Aalten,Krachtstroom E-laad AL345 mennekes
6.613.027,52.041.318,Ziekenhuisstraat 12 Groenlo,Krachtstroom E-laad REE003 mennekes
6.564.932,51.987.782,Rapenburgsestraat 34 Lichtenvoorde,Krachtstroom E-laad REE004 mennekes
6.618.520.403,5.194.335.171,t Zand 23 Bredevoort,Krachtstroom E-laad AL343 mennekes
6.486.212.397,51.861.068.234,Raadhuisstraat 1 Dinxperlo,Krachtstroom E-laad AL341 mennekes
6.305.170.966,5.204.507.075,Elderinkweg 1 Hengelo (Gld),Krachtstroom E-laad REE005 mennekes
4.428.783,51.936.354,Jan Steenstraat 31 Rotterdam,Krachtstroom E-laad REE017 mennekes
6.074.635,51.926.951,Nieuwe Doelenstraat 10 Zevenaar,Krachtstroom E-laad REE007 mennekes
6.063.214,51.926.011,Prof. Aalbersestraat 3 Zevenaar,Krachtstroom E-laad REE008 mennekes
6.773.886.542,51.222.840.868,Benrather Str. 7b D¸sseldorf,Krachtstroom E-laad MENDUS003 mennekes
6.766.642.714,51.217.478.479,Hubertusstr. 1(links) D¸sseldorf,Krachtstroom E-laad MENDUS005 mennekes
6.778.004.551,51.226.257.554,Kˆnigsallee 1-9  D¸sseldorf,Krachtstroom E-laad MENDUS015 mennekes
6.812.572.861,5.122.270.984,Hˆherweg 100 D¸sseldorf,Krachtstroom E-laad MENDUS014 mennekes
6.768.552.447,51.250.123.604,Georg-Glock-Str. 18 D¸sseldorf,Krachtstroom E-laad MENDUS013 mennekes
6.887.513.781,51.152.855.623,Hugo-Wilderer-Weg 21 D¸sseldorf,Krachtstroom E-laad MENDUS012 mennekes
6.306.146.119,52.040.988.986,Molenenk 4 Hengelo (Gld),Krachtstroom E-laad REE009 mennekes
6.162.584.339,53.478.815.929,Burgemeester van de Wormstraat 13 Schiermonnikoog,Krachtstroom E-laad AL431 mennekes
5.886.499,50.919.123,Stationstraat 212 Nuth,Krachtstroom E-laad AL246 mennekes
4.582.358.981,51.892.933.724,Amerstraat 1 Ridderkerk,Krachtstroom E-laad AL370 mennekes
4.323.907.762,51.423.219.099,Huijbergseweg 3 Hoogerheide,Krachtstroom E-laad REE021 mennekes
5.054.172,52.088.268,Eerste Oosterparklaan 86 Utrecht,Krachtstroom E-laad REE016 mennekes
5.122.003,52.076.827,Helling 14 Utrecht,Krachtstroom E-laad REE020 mennekes
5.874.719,50.996.104,Putstraat 86 Sittard,Krachtstroom E-laad AL323 mennekes
4.590.555.812,51.878.199.321,Sportlaan 8 Ridderkerk,Krachtstroom E-laad AL342 mennekes
4.596.735.621,51.869.727.337,Frans Halsstraat 19 Ridderkerk,Krachtstroom E-laad AL361 mennekes
460.292.616,51.866.925.071,PC Hooftstraat 10 Ridderkerk,Krachtstroom E-laad AL374 mennekes
4.618.579.532,51.866.103.569,Houtzaagmolen 119 Ridderkerk,Krachtstroom E-laad AL373 mennekes
6.475.191,52.726.286,Raadhuisplein 1 Hoogeveen,Krachtstroom E-laad AL417 mennekes
6.480.437,52.725.413,Van Echtenstraat 42 Hoogeveen,Krachtstroom E-laad AL421 mennekes
6.461.248,52.725.711,Dr. G.H. Amshoffweg 1 Hoogeveen,Krachtstroom E-laad AL419 mennekes
5.162.295,5.136.175,Kerkplein 5 Reusel,Krachtstroom E-laad AL401 mennekes
5.149.806,51.406.759,Dorpsplein 4 Lage Mierde,Krachtstroom E-laad AL402 mennekes
6.669.892,53.090.387,Stationsweg 159 Zuidlaren,Krachtstroom E-laad REE023 mennekes
513.725.105,52.093.716.268,Maliebaan 145 Utrecht,Krachtstroom E-laad REE019 mennekes
5.894.452,51.146.111,Europlein 7 Maasbracht,Krachtstroom E-laad AL320 mennekes
5.846.722,51.161.476,Meers 5 Thorn,Krachtstroom E-laad AL619 mennekes
4.293.476,51.490.653,Jacob Obrechtlaan 7 Bergen op Zoom,Krachtstroom E-laad AL380 mennekes
4.649.416,52.415.435,Waalstraat 6 Haarlem,Krachtstroom E-laad REE011 mennekes
5.012.552,52.100.866,Groene Draecksingel 29 Vleuten,Krachtstroom E-laad REE108 mennekes
5.131.103,52.085.845,Oosterstraat 9 Utrecht,Krachtstroom E-laad REE013 mennekes
5.109.217,52.113.654,Seinedreef 25 Utrecht,Krachtstroom E-laad REE014 mennekes
4.395.952.238,51.358.052.802,Breestraat 7 Putte,Krachtstroom E-laad REE022 mennekes
38.978,51.498.107,Kloetingseweg 36 Goes,Krachtstroom E-laad AL332 mennekes
5.145.172.263,5.202.282.731,Duwboot 37 Houten,Krachtstroom E-laad AL339 mennekes
480.198.595,53.051.074.881,Emmalaan 15 Den Burg,Krachtstroom E-laad AL429 mennekes
5.341.542.149,51.975.155.568,Karel de Grotestraat 30 Wijk bij Duurstede,Krachtstroom E-laad AL344 mennekes
388.927,51.508.318,Molenplein 2 Goes,Krachtstroom E-laad AL328 mennekes
5.911.189,51.984.479,Jansbuitensingel 32 Arnhem,Krachtstroom E-laad LO1 mennekes
6.463.072,52.718.801,Zuidwoldigerweg 5 Hoogeveen,Krachtstroom E-laad AL420 mennekes
5.550.746,51.420.707,Parallelweg 24 Geldrop,Krachtstroom E-laad AL451 mennekes
5.542.152,51.413.284,Laan van Tolkien 220 Geldrop,Krachtstroom E-laad AL452 mennekes
5.575.127,51.416.502,Nansenstraat 1 Geldrop,Krachtstroom E-laad AL453 mennekes
4.950.594.092,51.972.115.327,Raadhuisplein 1 Lopik,Krachtstroom E-laad AL372 mennekes
4.529.253,52.008.417,Wilhelminaplein 3 Bleiswijk,Krachtstroom E-laad AL438 mennekes
4.487.722,51.994.724,Berkelseweg 95 Bergschenhoek,Krachtstroom E-laad AL437 mennekes
4.596.228,51.851.901,Vlasstraat 7 Ridderkerk,Krachtstroom E-laad AL435 mennekes
5.109.265,51.989.294,Ir. D.S. Tuijnmanweg 10 Vianen,Krachtstroom E-laad AL428 mennekes
3.885.979,51.499.939,Hollandiaplein 1 Goes,Krachtstroom E-laad AL331 mennekes
6.672.300.519,53.409.730.591,Hogelandsterstraat 1 Uithuizen,Krachtstroom E-laad AL338 mennekes
4.660.089.398,52.129.875.196,De Smethstraat 13 Alphen aan den Rijn,Krachtstroom E-laad AL403 mennekes
4.664.917.374,52.129.710.542,De Vest 65 Alphen aan den Rijn,Krachtstroom E-laad AL404 mennekes
3.770.113,51.564.963,Burgemeester P. Wissestraat 3 Geersdijk,Krachtstroom E-laad AL330 mennekes
4.457.528.746,51.536.082.291,Kloosterstraat 1 Roosendaal,Krachtstroom E-laad AL426 mennekes
4.473.251.373,51.532.615.067,Ireneplein 3 Roosendaal,Krachtstroom E-laad AL425 mennekes
6.266.721,53.146.209,Molenstraat 45 Marum,Krachtstroom E-laad AL327 mennekes
6.182.470.169,52.075.575.884,Onderstraat 9 Bronkhorst,Krachtstroom E-laad REE025 mennekes
4.640.506,52.376.533,Zuider Buiten Spaarne 22 Haarlem,Krachtstroom E-laad REE010 mennekes
46.279,52.374.834,Lorentzplein 16 Haarlem,Krachtstroom E-laad REE024 mennekes
5.962.661,51.179.775,Groene Kruisstraat 1 Herten,Krachtstroom E-laad AL239 mennekes
5.904.722,51.248.385,Doctor Smitslaan 13 Heythuysen,Krachtstroom E-laad AL241 mennekes
5.859.714.542,51.002.525,Stationsplein 1 Sittard,Krachtstroom E-laad AL245 mennekes
6.052.965,5.144.931,Gasthuisstraat 25 Horst,Krachtstroom E-laad AL248 mennekes
561.934,51.439.769,Bisschop van Mierlostraat 7 Mierlo,Krachtstroom E-laad AL254 mennekes
547.375,51.399.063,Prunellalaan 5 Waalre,Krachtstroom E-laad AL255 mennekes
4.873.364,52.302.096,De Parelvisserslaan 1 Amstelveen,Krachtstroom E-laad AL407 mennekes
5.476.808,5.147.301,Eschweilerhof 17 Eindhoven,Krachtstroom E-laad AL411 mennekes
5.473.556,51.416.356,Antoon Coolenlaan 3 Eindhoven,Krachtstroom E-laad AL412 mennekes
5.565.712,51.961.536,Groeneweg 58 Rhenen,Krachtstroom E-laad AL415 mennekes
5.082.124,51.987.485,Westelijke paralleweg  Vianen,Krachtstroom E-laad AL416 mennekes
6.476.355,52.724.714,Bilderdijkplein 17 Hoogeveen,Krachtstroom E-laad AL418 mennekes
5.069.233,51.688.025,Bernardstraat 10 Waalwijk,Krachtstroom E-laad AL422 mennekes
50.664,51.692.388,Taxandriaweg 6 Waalwijk,Krachtstroom E-laad AL423 mennekes
5.691.653,51.457.343,Varenschut 21 Helmond,Krachtstroom E-laad AL440 mennekes
5.631.059,51.467.695,Odulfusstraat 12 Helmond,Krachtstroom E-laad AL441 mennekes
5.661.238,51.477.175,Kasteeltraverse 1 Helmond,Krachtstroom E-laad AL444 mennekes
5.659.798,51.474.747,Engelseweg 39 Helmond,Krachtstroom E-laad AL445 mennekes
5.653.807,51.478.275,De Kegelbaan 23 Helmond,Krachtstroom E-laad AL447 mennekes
5.182.047.272,52.014.128.379,Raaigras 2 Houten,Krachtstroom E-laad AL399 mennekes
5.489.725,52.080.874,Marktstraat 21 Scherpenzeel,Krachtstroom E-laad REE026 mennekes
3.814.557,5.132.668,Buitenhaven 6 Terneuzen,Krachtstroom E-laad REE032 mennekes
597.843.268,50.886.286.911,Raadhuisplein 2 Heerlen,Krachtstroom E-laad MEN002 mennekes
6.784.763.718,51.197.679.936,Moorenstraﬂe 5 D¸sseldorf,Krachtstroom E-laad KEBDUS004 mennekes
5.982.504.273,50.886.899.447,Putgraaf 22 Heerlen,Krachtstroom E-laad MEN009 mennekes
4.809.166.576,5.201.656.491,Adriaan Leeuwenhoekstraat 12 Hekendorp,Krachtstroom E-laad AL432 mennekes
5.855.482,50.951.716,Bergstraat 4 Sweikhuizen,Krachtstroom E-laad AL491 mennekes
5.877.170.661,50.936.891,Breinderveldweg  Schinnen,Krachtstroom E-laad AL317 mennekes
5.160.706,52.026.627,Prins Bernhardweg 3 Houten,Krachtstroom E-laad AL406 mennekes
5.159.727,52.022.881,Hefbrug 3 Houten,Krachtstroom E-laad AL400 mennekes
5.652.071,51.480.152,Havenweg 3 Helmond,Krachtstroom E-laad AL443 mennekes
5.657.685,51.476.806,Weg op den Heuvel 10 Helmond,Krachtstroom E-laad AL442 mennekes
5.701.931,51.471.009,Deltaweg 2 Helmond,Krachtstroom E-laad AL446 mennekes
3.505.947,51.492.229,Valkenisseweg 55 Biggekerke,Krachtstroom E-laad REE034 mennekes
5.164.580.727,52.034.415.553,Dijkhoeve 33 Houten,Krachtstroom E-laad AL369 mennekes
5.509.246,51.427.807,Sint Petrus Canisiuslaan 43 Eindhoven,Krachtstroom E-laad AL379 mennekes
5.887.786,51.343.132,Alexanderplein 2 Meijel,Krachtstroom E-laad AL319 mennekes
5.900.583,51.181.241,Wilhelminaplein 2 Heel,Krachtstroom E-laad AL439 mennekes
6.059.926,50.894.937,Putstraat 22 Eygelshoven,Krachtstroom E-laad AL462 mennekes
6.027.996,50.858.776,Van de Weijerstraat 10 Kerkrade,Krachtstroom E-laad AL600 mennekes
3.940.583,51.646.898,Julianastraat 64 Zierikzee,Krachtstroom E-laad REE028 mennekes
4.027.234,51.464.716,Zanddijk 28 Kruiningen,Krachtstroom E-laad REE031 mennekes
4.189.996,51.538.488,Postweg 7 Tholen,Krachtstroom E-laad REE030 mennekes
4.848.318,52.308.303,Molenweg 7a Amstelveen,Krachtstroom E-laad AL474 mennekes
3.523.730.085,51.568.276,Domburgseweg 50 Domburg,Krachtstroom E-laad REE036 mennekes
6.006.193.543,50.867.524.486,Bautscherweg 76 Heerlen,Krachtstroom E-laad MEN006 mennekes
6.005.463.982,50.867.463.545,Bautscherweg 78 Heerlen,Krachtstroom E-laad MEN007 mennekes
5.952.857,50.895.974,In de Cramer 58 Heerlen,Krachtstroom E-laad MEN008 mennekes
3.626.979.135,51.584.907.005,Vrouwenpolderseweg 83 Vrouwenpolder,Krachtstroom E-laad REE039 mennekes
3.544.072,51.579.813,Duinweg 115 Oostkapelle,Krachtstroom E-laad REE042 mennekes
6.653.954,52.352.967,Rohofstraat 8 Almelo,Krachtstroom E-laad AL434 mennekes
5.359.413.119,52.886.486.318,Station Stavoren  Stavoren,Krachtstroom E-laad AL478 mennekes
5.670.102.981,52.147.826.336,Schoonbeekhof 1 Kootwijkerbroek,Krachtstroom E-laad REE065 mennekes
5.589.291,5.213.989,Kampstraat 26 Barneveld,Krachtstroom E-laad REE077 mennekes
5.606.359,52.262.543,Brinkstraat 56 Putten,Krachtstroom E-laad REE072 mennekes
5.604.277,5.226.001,Achterstraat 105 Putten,Krachtstroom E-laad REE075 mennekes
5.610.725,52.259.529,Voorthuizerstraat 6 Putten,Krachtstroom E-laad REE046 mennekes
6.624.622,52.409.311,Manitobaplein 1 Vriezenveen,Krachtstroom E-laad AL494 mennekes
4.196.308,51.568.966,Bou Kooijmanstraat 1 Oud-Vossemeer,Krachtstroom E-laad AL493 mennekes
4.219.705,52.001.475,Dijkweg 72 Honselersdijk,Krachtstroom E-laad AL324 mennekes
4.227.727,51.996.435,Middel Broekweg 29 Honselersdijk,Krachtstroom E-laad AL325 mennekes
5.216.575,5.206.167,Rumpsterweg 16 Bunnik,Krachtstroom E-laad AL464 mennekes
5.198.071.288,52.068.696.861,Van Beeck Calkoenlaan 10 Bunnik,Krachtstroom E-laad AL471 mennekes
5.198.389,52.067.806,J.F. Kennedylaan 2 Bunnik,Krachtstroom E-laad AL470 mennekes
5.604.661,52.966.953,Pharshoeke 36 Heeg,Krachtstroom E-laad AL479 mennekes
5.027.834,52.021.402,Kruidenierweg 20 IJsselstein,Krachtstroom E-laad AL433 mennekes
5.040.206,52.016.245,Podiumweg 1 IJsselstein,Krachtstroom E-laad AL547 mennekes
5.234.309,52.047.582,Barbeellaan 36 Odijk,Krachtstroom E-laad AL473 mennekes
4.541.417,52.063.745,Rhoonstraat 62 Zoetermeer,Krachtstroom E-laad AL475 mennekes
4.053.678.356,5.149.795.185,Meerpaalweg 20 Yerseke,Krachtstroom E-laad AL363 mennekes
5.540.526,5.135.006,Valkenswaardseweg 42 Heeze-Leende,Krachtstroom E-laad AL333 mennekes
4.940.701,52.044.094,Aardvletterweg 14 Montfoort,Krachtstroom E-laad AL424 mennekes
5.608.142.304,52.186.189.666,Smidsplein 21 Voorthuizen,Krachtstroom E-laad REE078 mennekes
4.472.954,51.924.628,Delftseplein 31 Rotterdam,Krachtstroom E-laad REE050 mennekes
6.745.833,53.333.520.322,Molenweg 12 Loppersum,Krachtstroom E-laad AL465 mennekes
494.951,52.046.699,Waterpoort 10 Montfoort,Krachtstroom E-laad AL409 mennekes
499.351,52.249.637,Rijksstraatweg 53 Baambrugge,Krachtstroom E-laad REE049 mennekes
6.577.621,53.074.142,Oude Asserstraat 36 Vries,Krachtstroom E-laad REE044 mennekes
5.376.477.576,52.152.871.828,Stationsplein 4 Amersfoort,Krachtstroom E-laad REE053 mennekes
656.402,53.133.239,Hoofdweg 67 Eelde,Krachtstroom E-laad REE035 mennekes
3.621.261,51.501.303,Rotterdamse Kaai 13 Middelburg,Krachtstroom E-laad AL365 mennekes
3.477.792,51.503.582,Westkapelseweg 28 Zoutelande,Krachtstroom E-laad AL366 mennekes
6.900.184,52.218.042.585,Oldenzaalsestraat 4 Enschede,Krachtstroom E-laad AL498 mennekes
6.900.184,5.221.799,Oldenzaalsestraat 4 Enschede,Krachtstroom E-laad AL499 mennekes
6.891.636,52.219.081,Nijverheidstraat 30 Enschede,Krachtstroom E-laad AL497 mennekes
5.920.748,52.962.098,K.R. Poststraat 3 Heerenveen,Krachtstroom E-laad AL511 mennekes
5.927.186,52.958.904,Gashoudersplein 301 Heerenveen,Krachtstroom E-laad AL516 mennekes
6.587.049,53.129.399,Machlaan 10 Eelde,Krachtstroom E-laad REE071 mennekes
5.374.745,51.567.782,Keefheuvel 2 Liempde,Krachtstroom E-laad AL513 mennekes
5.328.753,51.588.586,Monseigneur Bekkersstraat 30 Boxtel,Krachtstroom E-laad AL512 mennekes
4.749.473,52.633.302,De Kanaalkade 24 Alkmaar,Krachtstroom E-laad AL502 mennekes
4.584.507,51.854.386,Strevelszicht 3 Ridderkerk,Krachtstroom E-laad AL515 mennekes
4.619.048,51.860.492,Zalm 13 Ridderkerk,Krachtstroom E-laad AL495 mennekes
6.494.854,52.462.444,Smitstraat 3 Den Ham,Krachtstroom E-laad AL501 mennekes
6.566.686,52.459.327,Julianastraat 27 Vroomshoop,Krachtstroom E-laad AL500 mennekes
4.406.298,5.192.042,Overschiesestraat 78 Schiedam,Krachtstroom E-laad AL524 mennekes
4.399.158,51.920.102,Groenweegje 7 Schiedam,Krachtstroom E-laad AL523 mennekes
4.587.409,51.929.822,Rivierweg 111 Capelle aan den IJssel,Krachtstroom E-laad AL525 mennekes
4.685.028,51.896.889,Burg van de Willigenstraat 58 Lekkerkerk,Krachtstroom E-laad AL509 mennekes
6.137.935,52.010.741,Halve Maanweg 1 Doesburg,Krachtstroom E-laad AL507 mennekes
4.588.417,52.129.327,Frederik van Eedenplein 4 Hazerswoude Rijndijk,Krachtstroom E-laad AL508 mennekes
5.179.625,51.536.047,Schoolstraat 73 Moergestel,Krachtstroom E-laad AL526 mennekes
4.782.441.045,52.156.054.034,Nieuwveenseweg 11 Nieuwkoop,Krachtstroom E-laad AL360 mennekes
591.448,51.983.139,Velperbuitensingel 24 Arnhem,Krachtstroom E-laad LO2 mennekes
5.911.924,51.980.633,Beekstraat 71 Arnhem,Krachtstroom E-laad LO3 mennekes
5.112.921,52.097.353,Oudenoord 111 Utrecht,Krachtstroom E-laad REE081 mennekes
5.093.746,52.076.206,Eisenhouwerlaan 79 Utrecht,Krachtstroom E-laad REE082 mennekes
5.117.700.254,5.208.949.429,Mariaplaats  Utrecht,Krachtstroom E-laad REE055 mennekes
